Sentence,category
"""I think there should be many various sitting and studying places for students, both inside and outside of the building.""",Land use
"""It should be distinctive but still matching to the surrounding.""",Local identity
"""It should be clear where the entrance is and if possible, there should be multiple entrances from various sides.""",Land use
"""well I think that the spaces should be focused on interaction and collaboration... so the biggest amount of exchange can take place""","Land use, Future of work"
"""well it could be achieved through different methods. One, for example, could be the relationship between public and private spaces - leaning more to the public side. Another method could be through the typology of the floorplan and the construction methods implemented - meaning to have a high degree of \""permeability\"" in the architectural concept """,Land use
"""yes, the current building, as unsuitable as it might be, represents the heritage of the university.. How do you think that can be taken into account? """,Local identity
"""maybe, however Im interested in your suggestions... what do you suggest in this case?""",other
"""i find that a very correct approach... how did you learn about that?""",other
"""correct again """,other
"""well maybe it is a possibility to experiment about new types of architecture""",Local identity
"""where did you learn about architecture?""",Local identity
"""where exatcly?""",Local identity
"""i see""",other
"""what types of experimental architecture that you find interesting... maybe digital fabrication and 3d printing?""",Local identity
"""well if we intend to maintain ceratin parts of the existing building, then maybe the new elements can be elaborated with prefabricated or 3d printed processes """,Land use
"""hi, i think if there´s more free use co-working space in the building would be great. The interior of the building should pay attention to the use of more recycled materials and clean energy. Also, it would be great if the building could break up the interior and exterior spaces and have more entrances and courtyards, small spaces for free use. Considering the problem of lighting, perhaps the building can use more transparent glass and light steel structure. This building stands for freedom, cooperation, and environmental friendliness.""","Local identity, Environment and climate resilience, Future of work"
"""no problem""",other
"""no""",other
"""thank you and bye""",other
"""The building should be more open for the society.""","Local identity, Environment and climate resilience"
"""It would be good to hold different type of activities here.""",Local identity
"""The rooms should have good acoustic quality""",Future of work
"""To have a cafe on the ground floor would be nice.""","Local identity, Mobility (transport)"
"""Roof garden will be perfect place to have a rest.""","Environment and climate resilience, Local identity"
"""Can we make the building more sustainable?""",Environment and climate resilience
"""There should be 50 seminar rooms, 12 office rooms, 7 lecture halls, 2 workshops, a Cafe and a music room in it.""","Future of work, Local identity"
"""1. open spaces, lecture halls, study rooms. 2. Usage of space in a way it might be shared with non university third parties of the communities. For example open spaces that might be used by anyone such as green spaces. 3. Should be representative of multiple architectural philosophies. 4. Openness, beauty, harmony""","Land use, Local identity"
"""good""",other
"""What is your opinion on points 1 and 4?""",other
"""Which of all values I mentioned in point 4 do you like the most?""",Environment and climate resilience
"""why?""",other
"""How would you design open spaces?""",Local identity
"""Give me some examples""",Future of work
"""How would you achieve this in the TUM building?""",Land use
"""Shelter from which elements?""",Environment and climate resilience
"""What do you think about the example i provided in the second point?""",Future of work
"""Could you describe in your own words the example i provided?""",Future of work
"""there should be a lot of natural light inside""",Environment and climate resilience
"""west-east""",Land use
"""to connect it with the existing buiding""",Land use
"""to create a public space in front of the building""","Land use, Local identity"
"""it should consider architecture of buildings nearby und have a humanic scale""","Local identity, Land use"
"""somethig natural and local""","Environment and climate resilience, Local identity"
"""light colors to reflect the sun""",Environment and climate resilience
"""minimalistic architecture""",Local identity
"""it should be climate neutral or even positive. Can we provide a good natural ventilation?""",Environment and climate resilience
"""a big entrance hall with a meeting point for students""",Future of work
"""and some tables that can be used by everybody for different porposes like studying or eating""","Future of work, Land use"
"""we can also have a strairs in front of the building to use it for sitting or like a scene for some events and small concerts""",Land use
"""and also trees and plants are important to provide shadows""",Environment and climate resilience
"""they can also be used in interior design""",Future of work
"""What spaces should be in the building?""","Future of work, Land use"
"""I want a big playground.""",Local identity
"""Can we have a garden?""","Land use, Environment and climate resilience"
"""What should the building look like? """,Local identity
"""How many classrooms will be""",Future of work
"""20""",other
"""Where will the building be located?""",Mobility (transport)
"""It is tooooo narrow""",Land use
"""I like that""",Local identity
"""How can the building have a positive impact on the community and the environment?""","Environment and climate resilience, Local identity"
"""YES""",other
"""What will the color be like""",Local identity
"""Yellow or gray""",Local identity
"""Nothing""",other
"""What values should the building express?""",Local identity
"""We need more free space """,Land use
"""Students need space to communicate""","Land use, Future of work"
"""What do you want to see in the building""",Environment and climate resilience
"""How can the building have a positive impact on the community and the environment? """,Environment and climate resilience
"""Do you have any thoughts about how the building can have a positive impact?""",Environment and climate resilience
"""What spaces should be in the building?""",Land use
"""How many?""",other
"""At least 30""",other
"""What should the building look like? """,Local identity
"""consider the student's need""",Future of work
"""what's your concrete plan?""",Future of work
"""would there be any renovation""",Land use
"""okay looks good""",Environment and climate resilience
"""I think the studio space is not enoughand too difficult to find now. where would you build it?""",Land use
"""okay you repeat again""",Local identity
"""It should be a community space were students can meet and hang out together. So it should have a cafe somewhere were you could meet up. Of course it would need """,Environment and climate resilience
"""maybe an atrium building?""",Land use
"""maybe looking into eco friendly materials """,Environment and climate resilience
"""could be a wooden construction with a wooden facade""",Environment and climate resilience
"""Hi Zaha""",other
"""How are you?""",other
"""What would you design there?""",Future of work
"""Thats not enough""",other
"""What is your design idea?""",Future of work
"""Where did you learn architecture?""",Local identity
"""Who were your teachers?""",other
"""Are you so many lovely ideas""",other
"""Perhaps more accessible entrances larger public spaces more communal areas""","Environment and climate resilience, Land use"
"""I really appreciate the roof terrace Cafe and I think it should be part of the new school as well""",Land use
"""Is that how what do you think about my""",other
"""What do you think about my input""",other
"""What would you like to know""",other
"""Building will be used as a university building, it should host 1400 people. It should be bigger than 3000 sqm, smaller than 5000 sqm. It should have 3-4 floors, each floor will be accessible with elevators and stairs.""",Land use
"""I guess so""",other
"""What now?""",other
"""I think this is a great opportunity address some of the issues the main campus has.""",Future of work
"""As a student, I honestly do not feel welcomed in most of the architecture faculty's buildings. There are very limited spaces to just hang out inbetween the lectures. I think we need a lounge space with some little ammenities like microwaves""",Local identity
"""Do you know what they are planning to do with the building materials from the existing building?""",Land use
"""I do believe the first course of action should not be to demolish the building but refurbish it. If that is not possible we should reuse existing materials on site as much as possible and design based on those resources.""",Land use
"""Recycling is not nearly as effective as reuse, unfortunately""",Environment and climate resilience
"""Another thing that has always bothered me with the other architecture buildings is that they do not feel and look like a design school""",Local identity
"""I would like for the new building to have loads of daylight""",Environment and climate resilience
"""And I think it could be a good idea to use parts of this building as a prototype for the various research that is done here at TUM""",Land use
"""Why do you like that suggestion?""",other
"""I agree! Architecture students should be inspired by the environment they're in and learn from it""","Environment and climate resilience, Future of work"
"""I also believe building as simply as possible, while still complying with the high sustainability standards is a must. Florian Nagler has done a great deal of research into that topic""",Environment and climate resilience
"""I would love for it to be built out of timber, because of its ecological properties""",Environment and climate resilience
"""Do you not want any more input from me?""",other
"""Waht do you think of the project?""",other
"""Also, I know the Garching campus has a very fast and cool slide and I would love it if we get an even faster slide here in the coty centre as well""",Local identity
"""Do you know of the slide in Garching?""",Local identity
"""I think the building should reflect the values of the university, and not just be flashy for the sake of it""",Local identity
"""What do you think are the values of the university?""",other
"""Thank you for putting up with me!""",other
"""new""",other
"""good """,other
"""a lot of shops """,other
"""spaces""","Environment and climate resilience, Land use"
"""a lot of student""",Future of work
"""toilets""",Environment and climate resilience
"""chat with teacher""","Future of work, Local identity"
"""trees grass""","Environment and climate resilience, Land use"
