Sentence,category
"""Which building in Munich have you designed?""","['Mobility (transport)', 'Future of work']"
"""What do you want to see in the building""",['Environment and climate resilience']
"""Do you have any ideas?""",['other']
"""I like the brick appearance on the existing building.""",['Local identity']
"""In which cities?""",['other']
"""the design of the building should lead to the rethink of future architectural design""",['Local identity']
"""And the space should show our history""",['Local identity']
"""I would like to use wood column for a modern half timbered apartment.""",['Land use']
"""it should accomadate 1400 students and have appropriate teaching spaces to accomadate this ""","['Future of work', 'Land use']"
"""It should be clear where the entrance is and if possible, there should be multiple entrances from various sides.""",['Land use']
"""Can you be more specific?""",['other']
"""Why do you like that suggestion?""",['other']
"""yes so that when we are hungry, we can buy some food.""",['Future of work']
"""not too high""",['Environment and climate resilience']
"""I want to use ultra lightweight concrete for the infill.""","['Environment and climate resilience', 'Land use']"
"""The building should be accessible to all students even those with disabilities. it should have studio spaces as well as offices for staff""","['Mobility (transport)', 'Future of work']"
"""what you mean about the values""",['other']
"""the building should include a conference room and storage room for the student representatives. also I could imagine a flexible and open gathering point, which could consists of a student-run cafeteria and a library, with more content regarding feminism and sustainability. it should include an open ground floor, where the urban society meets students: with space for changing and constant exhibitions. The buidling offers a safe space for the LGTBIAQ* community and has an office for anti-racism where students can help students and can exchange their experiences, hopes and perspectives. The buidling itself is built with a CO2-positive footprint, with local materials and considering the circularity of its materials. the materials and the way of construction should arise out of the functionality in sense of sustainability, flexibility and physical comfort for the students. ""","['Environment and climate resilience', 'Local identity', 'Land use']"
"""How can I 3d print a column?""",['Future of work']
"""the building should have kinda isolated spaces that make the students collaborate in separated groups""",['Land use']
"""Is there anything we should take into consideration?""",['other']
"""do you have suggestions for my ideas?""",['other']
"""Hey, I would like a building with community space""",['Land use']
"""hide in the environment""",['Environment and climate resilience']
"""that is an good idea""",['other']
"""what's your concrete plan?""",['Future of work']
"""I do believe the first course of action should not be to demolish the building but refurbish it. If that is not possible we should reuse existing materials on site as much as possible and design based on those resources.""",['Land use']
"""Yellow or gray""",['Local identity']
"""For how many users will it be?""",['other']
"""hi, i think if there´s more free use co-working space in the building would be great. The interior of the building should pay attention to the use of more recycled materials and clean energy. Also, it would be great if the building could break up the interior and exterior spaces and have more entrances and courtyards, small spaces for free use. Considering the problem of lighting, perhaps the building can use more transparent glass and light steel structure. This building stands for freedom, cooperation, and environmental friendliness.""",['Future of work']
"""each floor should have at least two toilets""",['Land use']
"""i find that a very correct approach... how did you learn about that?""",['other']
"""What should the building look like? """,['Local identity']
"""The building should have several spaces for group works, especially for create models. It's important to stimulate the cooperation between students of different years and courses creating rooms dedicated to the group work more similar to intern squares than classes. """,['Future of work']
"""To have a cafe on the ground floor would be nice.""",['Mobility (transport)']
"""that was all of my ideas.""",['other']
"""and shops on ground floor""",['Land use']
"""The building should have several spaces for group works, especially for create models. It's important to stimulate the cooperation between students of different years and courses creating rooms dedicated to the group work more similar to intern squares than classes. """,['Environment and climate resilience']
"""Waht do you think of the project?""",['other']
